"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Alpinimonas",3.89166222813687e-05,1.84106118766857e-05,3.3085194375517e-06,1.03432404337955e-05,3.27236388015093e-05,1.4871547012678e-05,0.000108434248182758,0.000127041198501873,0.000141081475946445,0.000108847669544847,0.000135726439548549,0.000127704135059893,2.02498425574741e-06,0,0,6.15098074312459e-06,0,0,0,0,0,0,0,0,7.59644061178694e-07,0,0,0,0,9.20509409907443e-07
"g_Alsobacter",0.00234949568635949,0.0010422451945746,0.000226302729528536,0.000731267098669342,0.00187573575745575,0.000914954225732379,0.0011068038618083,0.00110022471910112,0.0012853470437018,0.00137148063626507,0.00122725676659208,0.000912577803237523,0.000124199034352508,1.93021302282138e-05,1.03365583395353e-05,0.000891892207753065,0.000144320969836917,5.45646017602541e-05,4.4640828014311e-06,1.74289205049507e-06,2.14406854158314e-06,3.56927744439735e-06,3.93965447391758e-06,1.13769007957004e-06,1.67121693459313e-05,4.09649289002453e-05,1.84235764460716e-05,7.63690674035125e-05,7.2846476051721e-06,2.85357917071307e-05
"g_Alteracholeplasma",0,1.02281177092698e-06,0,5.17162021689775e-07,4.19533830788581e-07,0,3.48538654873151e-06,9.98751560549313e-06,7.80688009189813e-06,7.96446362523269e-06,7.62508087351401e-06,6.89196919370852e-06,0,1.50406209570498e-05,2.58413958488382e-06,0,0,0,0,0,7.14689513861046e-07,1.33847904164901e-06,5.25287263189011e-07,9.67036567634538e-06,0,0,0,8.67830311403551e-07,6.62240691379282e-07,0
"g_Alteraurantiacibacter",3.96796933064936e-05,7.15968239648889e-06,1.98511166253102e-06,2.01693188459012e-05,1.72008870623318e-05,1.13307024858499e-05,8.13256861370686e-06,5.99250936329588e-06,1.50561258915178e-05,9.02639210859705e-06,9.15009704821682e-06,1.01352488142772e-05,3.37497375957902e-05,2.25609314355746e-06,6.46034896220954e-06,2.89096094926856e-05,0,1.09129203520508e-05,1.62330283688404e-06,0,1.42937902772209e-06,3.34619760412252e-06,1.57586178956703e-06,1.13769007957004e-06,0,0,3.07059607434527e-06,0,0,0
"g_Altererythrobacter",6.1808753035115e-05,9.20530593834286e-06,3.3085194375517e-06,2.68924251278683e-05,3.48213079554522e-05,1.87664759921889e-05,2.94321530781772e-05,3.23595505617978e-05,3.73614975826553e-05,2.86720690508377e-05,3.62191341491916e-05,1.98650876759834e-05,0.000165373714219372,1.00270806380332e-06,0,0.000145778243612053,0,1.09129203520508e-05,6.08738563831514e-06,3.48578410099014e-07,2.85875805544418e-06,1.16001516942914e-05,9.58649255319945e-06,1.70653511935507e-06,2.27893218353608e-06,7.3151658750438e-07,1.02353202478176e-06,1.7356606228071e-06,6.62240691379282e-07,5.52305645944466e-06
"g_Alteribacillus",3.81535512562438e-06,1.02281177092698e-06,0,1.55148606506933e-06,1.04883457697145e-05,4.95718233755933e-06,6.19624275330047e-06,1.87765293383271e-05,3.1785154659871e-05,9.55735635027923e-06,1.98252102711364e-05,1.94596777234123e-05,4.04996851149482e-06,1.60433290208531e-05,1.29206979244191e-06,0,0,2.7282300880127e-06,3.65243138298909e-05,2.16118614261388e-05,4.57401288871069e-05,2.25310638677583e-05,2.3375283211911e-05,4.83518283817269e-05,2.27893218353608e-06,7.3151658750438e-07,2.04706404956351e-06,1.7356606228071e-06,1.98672207413785e-06,9.20509409907443e-07
"g_Alteribacter",6.86763922612389e-06,2.65931060441016e-05,2.64681555004136e-06,2.37894529977297e-05,2.93673681552007e-05,3.22216851941357e-05,1.43288113670073e-05,2.11735330836454e-05,2.56511774448081e-05,2.76101405674733e-05,3.43128639308131e-05,1.74326279605569e-05,1.34998950383161e-06,5.74050366527399e-05,7.75241875465145e-06,1.23019614862492e-06,0,2.7282300880127e-06,4.86990851065211e-06,6.27441138178225e-06,7.8615846524715e-06,1.71771477011622e-05,1.98295941853852e-05,6.65548696548476e-05,0,1.09727488125657e-05,4.09412809912703e-06,2.60349093421065e-06,1.98672207413785e-06,1.84101881981489e-06
"g_Altericroceibacterium",6.33348950853648e-05,1.22737412511238e-05,4.63192721257237e-06,1.91349948025217e-05,2.0976691539429e-05,1.13307024858499e-05,1.04561596461945e-05,9.58801498127341e-06,1.89595659374669e-05,1.4866998767101e-05,1.37251455723252e-05,1.3783938387417e-05,2.09248373093899e-05,3.00812419140995e-06,1.29206979244191e-06,2.02982364523111e-05,0,1.90976106160889e-05,4.05825709221009e-07,1.39431364039605e-06,0,2.00771856247351e-05,2.40318922908973e-05,3.98191527849515e-06,7.59644061178694e-07,0,3.07059607434527e-06,9.54613342543906e-06,1.32448138275856e-06,1.84101881981489e-06
"g_Alterileibacterium",7.63071025124877e-07,0,0,1.03432404337955e-06,1.67813532315432e-06,3.54084452682809e-06,1.16179551624384e-06,1.5980024968789e-06,5.57634292278438e-07,1.59289272504654e-06,1.9062702183785e-06,8.10819905142179e-07,0,1.15311427337381e-05,1.29206979244191e-06,2.46039229724984e-06,0,5.45646017602541e-06,2.02912854610505e-06,0,7.14689513861046e-07,1.11539920137417e-06,1.57586178956703e-06,1.02392107161304e-05,0,1.46303317500876e-06,0,1.7356606228071e-06,0,0
"g_Alterinioella",3.81535512562438e-06,0,1.32340777502068e-06,3.62013415182843e-06,1.67813532315432e-06,7.08168905365619e-07,3.87265172081279e-06,4.39450686641698e-06,1.11526858455688e-06,1.06192848336436e-06,3.05003234940561e-06,2.43245971542654e-06,6.74994751915804e-07,0,0,4.92078459449967e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
