"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Sclerotinia",5.49148819330038e-05,0,0,7.57288905717531e-05,3.44340759615716e-05,0,4.08496732026144e-05,0.00012724455655272,4.92344050022156e-05,0.000135371023476185,3.80089809792199e-05,0.000131892408767548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163907556138338,0,0.000424448217317487,0,0
"g_Scotinosphaera",0,0,0,0,0,0.000124664962912174,0,1.49699478297318e-05,0,7.12479070927291e-06,1.08597088512057e-05,4.94596532878305e-05,0,7.52898659840386e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Scrippsiella",0,0,0,0,0,0,5.71895424836601e-05,4.49098434891954e-05,9.84688100044311e-06,5.69983256741833e-05,2.71492721280142e-05,5.77029288358022e-05,0,0,0,9.80094285070224e-06,0,0,0,0,0,2.11492502590783e-05,0,0,0,0,0,0,0,0
"g_Scutellospora",5.49148819330038e-05,7.16589036187746e-05,0,0,6.88681519231431e-05,0,0.000318627450980392,0.000441613460977089,0.000531731574023928,0.000555733675323287,0.000434388354048228,0.000403920501850615,0,0,0,0,0,0,0,0,0,0.000422985005181566,0.00053285427196882,0,0,0,0,0,0.00100772589855559,0
"g_Scytalidium",0,0,0,0,0.000103302227884715,6.23324814560868e-05,7.35294117647059e-05,0.00012724455655272,2.95406430013293e-05,0.000156745395604004,0.000141176215065674,0.000181352062055378,0,7.52898659840386e-05,0.000825082508250825,0,0,0.000106917566556185,1.20752529765499e-05,0,0.000109941456174587,0,0,0,0,0,0,0,0,0
"g_Scytosiphon",5.49148819330038e-05,0,0,0,0,0,0,0,0,0,0,8.24327554797174e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163907556138338,0,0,0.000335908632851864,0
"g_Secale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49707280872935e-05,0,0,0,0,0,0,0,0,0
"g_Seculamonas",0,0,0,0,0,0,0.000122549019607843,0.000142214504382452,0.000187090739008419,0.00022086851198746,0.000195474759321703,0.00018959533760335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Seirophora",0,0,0,0,3.44340759615716e-05,0,6.5359477124183e-05,1.49699478297318e-05,9.84688100044311e-06,4.27487442556375e-05,4.34388354048228e-05,6.59462043837739e-05,3.95929841232134e-05,0,0,0,0,0,9.66020238123989e-05,0.000494651579793483,0.000109941456174587,0.000444134255440645,0.000289263747640217,0,0,0,0,0,0,0
"g_Selenicereus",0,0,0,0,0,0,1.63398692810458e-05,0,0,7.12479070927291e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163907556138338,0,0,0,0
