"","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF"
"g_Ferroglobus",0.000280092430502066,0.000799616184231569,0,0,0.000503626107977438,8.46740050804403e-05,8.32292967124428e-05,0.000148051640412176,0.000166847418036206,0.000101132686084142,9.66323621780934e-05,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,4.56767003151692e-05,0,0,0,0,0,0,0
"g_Ferroplasma",0.000140046215251033,0,0,0,0.000201450443190975,0,8.32292967124428e-05,0.000118441312329741,0.000250271127054309,0.000101132686084142,2.41580905445234e-05,0.000250909547108267,0,0,0,0,0,0.000818330605564648,0,0,0,0,0,0,0.000747384155455904,0,0,0,0,0
"g_Fervidicoccus",7.00231076255164e-05,0,0,0,0,0,8.32292967124428e-05,2.96103280824352e-05,8.34237090181029e-05,0,7.24742716335701e-05,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000747384155455904,0,0,0,0,0
"g_Geoglobus",7.00231076255164e-05,0,0,0,0.000151087832393231,4.23370025402202e-05,0.000249687890137328,2.96103280824352e-05,0.000250271127054309,0,2.41580905445234e-05,0.000125454773554134,0,0,0,0,0,0,0,0,0,0,0.000274060201891015,0,0.0112107623318386,0.00286635614475099,0.0255813953488372,0.000390015600624025,0.00523560209424084,0.0220385674931129
"g_Haladaptatus",0,0,0,0.000406437977564624,0.000352538275584206,0.000423370025402202,0.0017478152309613,0.000503375577401398,0.00158505047134396,0.000657362459546926,0.000821375078513794,0.00106636557521014,0.000962331591971405,0.00182815356489945,0,0.000196869770646717,0,0,0,0,0.0121107266435986,0.00194505227327984,0.00214680491481295,0.015220700152207,0,0,0,0,0,0
"g_Halalkaliarchaeum",0.000280092430502066,0,0,0.000162575191025849,0.000100725221595488,0,0.000166458593424886,8.88309842473055e-05,0.000125135563527154,0.000101132686084142,9.66323621780934e-05,0.000313636933885334,0,0.00137111517367459,0,0,0,0,0,0.000641025641025641,0.000346020761245675,0.000162087689439987,0.000182706801260677,0,0,0,0,0,0,0
"g_Halalkalicoccus",0,0.0011194626579242,0,0,5.03626107977438e-05,0,0.000582605076987099,0.000177661968494611,0.000166847418036206,0.000202265372168285,0.000241580905445234,0.000627273867770669,0.000137475941710201,0,0,0,0,0,0,0,0,0.000324175378879974,0.000182706801260677,0,0,0,0,0,0,0
"g_Halalkalirubrum",0,0,0,0,0,0,8.32292967124428e-05,2.96103280824352e-05,8.34237090181029e-05,5.05663430420712e-05,0,0,0,0,0,0,0,0,0,0,0,0.000243131534159981,0.000319736902206185,0,0,0,0,0,0,0
"g_Halanaeroarchaeum",0,0,0,0,0,0,0.000416146483562214,0.000325713608906787,0.000208559272545257,0.000202265372168285,7.24742716335701e-05,0.000501819094216535,0,0,0,0,0,0,0,0,0,0,0,0,0.000747384155455904,0.000358294518093873,0,0,0.00130890052356021,0
"g_Halapricum",7.00231076255164e-05,0,0,8.12875955129247e-05,0.000251813053988719,8.46740050804403e-05,0.00491052850603412,0.00260570887125429,0.0014599149078168,0.00207322006472492,0.0018601729719283,0.00558273742315895,0.000274951883420401,0.000457038391224863,0,0.0011812186238803,0,0,0,0,0.00346020761245675,0.000162087689439987,0.000274060201891015,0,0,0,0,0,0,0
"g_Halarchaeum",0,0.000319846473692628,0,8.12875955129247e-05,0.000151087832393231,8.46740050804403e-05,0.000499375780274657,0.000177661968494611,0.000166847418036206,0.000303398058252427,0.000265738995989757,0.000376364320662401,0,0,0,0.000196869770646717,0,0,0,0,0.00242214532871972,0,0,0.0030441400304414,0,0,0,0.000390015600624025,0,0
"g_Halegenticoccus",0,0,0,0,0,0.000169348010160881,0.000915522263836871,0.000266492952741916,0.000750813381162927,0.000252831715210356,0.00028989708653428,0.000376364320662401,0.000137475941710201,0.00137111517367459,0,9.84348853233586e-05,0,0,0,0,0.00311418685121107,0,4.56767003151692e-05,0,0,0,0,0,0,0
"g_Haloarchaeobius",0.000280092430502066,0,0,0.000325150382051699,0.000100725221595488,0,0.000166458593424886,0.000118441312329741,0.000166847418036206,0.000151699029126214,9.66323621780934e-05,0.000250909547108267,0,0.000685557586837294,0,9.84348853233586e-05,0,0,0,0.000320512820512821,0,0.00162087689439987,0.00150733111040058,0,0,0,0,0,0,0
"g_Haloarcula",7.00231076255164e-05,0.000159923236846314,0.00181818181818182,8.12875955129247e-05,0,8.46740050804403e-05,0.000249687890137328,0.000118441312329741,0.000458830399599566,0.00040453074433657,0.000314055177078804,0.000564546480993602,0.000274951883420401,0.000228519195612431,0,0.00108278373855694,0,0.00572831423895254,0,0.000641025641025641,0.0013840830449827,0.000729394602479942,0.000730827205042708,0.0015220700152207,0,0,0.00232558139534884,0,0.00261780104712042,0
"g_Halobacterium",7.00231076255164e-05,0.000159923236846314,0,8.12875955129247e-05,0.000151087832393231,0,0.00374531835205993,0.00121402345137984,0.00162676232585301,0.00171925566343042,0.000893849350147364,0.00238364069752854,0,0.00297074954296161,0,0,0,0,0.000130958617077004,0,0.00588235294117647,0.00210713996271983,0.00388251952678938,0.0030441400304414,0,0,0,0.000390015600624025,0,0.000918273645546373
"g_Halobaculum",0,0.000159923236846314,0,0,0.000100725221595488,0,0.000915522263836871,0.000681037545896009,0.000709101526653875,0.000556229773462783,0.000386529448712374,0.000501819094216535,0.000824855650261204,0,0,0.000196869770646717,0.0909090909090909,0.000818330605564648,0,0.00737179487179487,0.0027681660899654,0,4.56767003151692e-05,0,0,0,0,0,0,0
"g_Halobellus",0,0,0,0,5.03626107977438e-05,4.23370025402202e-05,0.00108198085726176,0.000710647873978444,0.000583965963126721,0.000707928802588997,0.00043484562980142,0.00100363818843307,0.000687379708551004,0.000228519195612431,0,9.84348853233586e-05,0.0227272727272727,0,0.000261917234154007,0.0192307692307692,0.00346020761245675,0.00842855985087933,0.00986616726807655,0,0,0.000358294518093873,0,0,0,0
"g_Halobiforma",0,0,0,0,5.03626107977438e-05,0,8.32292967124428e-05,2.96103280824352e-05,4.17118545090515e-05,0,0,6.27273867770669e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Halocalculus",7.00231076255164e-05,0,0,0,0,8.46740050804403e-05,0,2.96103280824352e-05,0.000208559272545257,0.000101132686084142,9.66323621780934e-05,0.000188182160331201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Halocatena",0,0,0,0.000325150382051699,0.000100725221595488,0.000169348010160881,0.000582605076987099,0.000296103280824352,0.000250271127054309,0.000455097087378641,0.00014494854326714,0.000188182160331201,0,0,0,0.000196869770646717,0,0,0,0,0,0.000162087689439987,0.0005937971040972,0,0,0,0,0,0,0
"g_Halococcoides",0,0,0,0,0,0,0.000166458593424886,0.000148051640412176,8.34237090181029e-05,0,4.83161810890467e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0136986301369863,0,0,0,0,0,0
"g_Halococcus",0,0,0,0.000243862786538774,0.000352538275584206,0.00012701100762066,0.00158135663753641,0.00097714082672036,0.000625677817635772,0.000910194174757282,0.000314055177078804,0.000690001254547736,0.000137475941710201,0.00114259597806216,0,0.000984348853233586,0,0,0,0,0,0,4.56767003151692e-05,0,0,0.000358294518093873,0,0,0,0
"g_Halodesulfurarchaeum",0,0,0,0,0,0,0,2.96103280824352e-05,0,0,4.83161810890467e-05,0,0.00109980753368161,0,0.00175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Haloferax",0,0.000159923236846314,0,0.000406437977564624,0.000100725221595488,8.46740050804403e-05,0.00216396171452351,0.00118441312329741,0.0014599149078168,0.00156755663430421,0.00152195970430497,0.00200727637686614,0,0.000914076782449726,0,0,0,0.00736497545008183,0.000130958617077004,0,0.00622837370242215,8.10438447199935e-05,0.000182706801260677,0.0030441400304414,0,0,0.00232558139534884,0,0.00523560209424084,0
"g_Halogeometricum",0.00098032350675723,0.000319846473692628,0.000909090909090909,0.00219476507884897,0.000352538275584206,0.000592718035563082,0.000582605076987099,0.000148051640412176,0.000375406690581463,0.00040453074433657,0.00028989708653428,0.000501819094216535,0.000824855650261204,0.00137111517367459,0,0.0109262722708928,0,0.00818330605564648,0,0,0.0013840830449827,0,0,0,0,0,0,0,0,0
"g_Haloglomus",0,0,0,0,5.03626107977438e-05,0,8.32292967124428e-05,2.96103280824352e-05,0,0.000101132686084142,0,0,0,0,0,9.84348853233586e-05,0,0,0,0,0.000346020761245675,0,4.56767003151692e-05,0.0015220700152207,0,0,0,0,0,0
"g_Halogranum",0.000350115538127582,0,0,8.12875955129247e-05,0.000100725221595488,0,0,8.88309842473055e-05,0.000125135563527154,0.000505663430420712,0.000193264724356187,0.000376364320662401,0,0.00159963436928702,0,0,0,0,0,0,0.0141868512110727,8.10438447199935e-05,0,0,0,0,0,0,0,0
"g_Halohasta",0.000140046215251033,0,0,0,0,4.23370025402202e-05,0.000582605076987099,2.96103280824352e-05,0.000125135563527154,0.000202265372168285,4.83161810890467e-05,6.27273867770669e-05,0,0.000228519195612431,0,9.84348853233586e-05,0,0,0,0.00256410256410256,0.014878892733564,0.00162087689439987,0.00169003791166126,0.0045662100456621,0,0,0,0,0,0
"g_Halolamina",0.000210069322876549,0,0,0,0,4.23370025402202e-05,0.000915522263836871,0.000355323936989222,0.000250271127054309,0.000303398058252427,0.000338213267623327,0.000752728641324802,0.000137475941710201,0.000228519195612431,0,0,0,0,0,0.00320512820512821,0,0.000324175378879974,0.000182706801260677,0,0,0,0,0,0,0
"g_Halomarina",7.00231076255164e-05,0,0.000454545454545455,0.000487725573077548,0.000151087832393231,0.000211685012701101,0.00199750312109863,0.000414544593154092,0.000959372653708184,0.000809061488673139,0.00028989708653428,0.000564546480993602,0,0.00251371115173675,0,0.000393739541293434,0,0,0,0,0.000692041522491349,8.10438447199935e-05,9.13534006303385e-05,0,0,0,0,0,0,0
"g_Halomicroarcula",0,0,0,0.000325150382051699,0.000100725221595488,0.000211685012701101,0.000332917186849771,5.92206561648703e-05,0.00029198298156336,0.000505663430420712,0.00028989708653428,6.27273867770669e-05,0,0.00182815356489945,0,9.84348853233586e-05,0,0.000818330605564648,0,0.0121794871794872,0.00242214532871972,0.000729394602479942,0.000456767003151692,0.0015220700152207,0,0,0,0,0,0
"g_Halomicrobium",7.00231076255164e-05,0,0,0,0,0,0.000832292967124428,0.000532985905483833,0.000417118545090515,0.000556229773462783,0.000265738995989757,0.000313636933885334,0.000137475941710201,0,0,0.000196869770646717,0,0,0,0,0.00449826989619377,0,0,0,0,0,0,0,0,0
"g_Halonotius",7.00231076255164e-05,0,0,0,0,4.23370025402202e-05,0.000416146483562214,0.000207272296577046,0.000208559272545257,0.000101132686084142,0.000241580905445234,0.000188182160331201,0,0,0,0,0,0,0,0.000320512820512821,0.000346020761245675,0,9.13534006303385e-05,0,0,0,0,0,0,0
"g_Haloparvum",0.000350115538127582,0,0,8.12875955129247e-05,5.03626107977438e-05,0,0.000166458593424886,2.96103280824352e-05,8.34237090181029e-05,0,7.24742716335701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g_Halopelagius",0,0,0,0,0,0,0.000249687890137328,0.000177661968494611,0.000333694836072412,0.000101132686084142,0.00028989708653428,0.000250909547108267,0,0.000228519195612431,0,0,0,0,0,0,0.000346020761245675,0,0,0,0,0,0,0,0,0
"g_Halopenitus",0,0,0,0,5.03626107977438e-05,0,8.32292967124428e-05,0.000118441312329741,4.17118545090515e-05,0.000101132686084142,2.41580905445234e-05,0.000125454773554134,0,0.00411334552102377,0,0,0.0340909090909091,0,0,0.000320512820512821,0,0.000486263068319961,0.000319736902206185,0,0,0.00358294518093873,0,0,0,0
"g_Halopiger",0,0,0,8.12875955129247e-05,0.000453263497179694,0,0.000332917186849771,0.000296103280824352,0.000333694836072412,0.00040453074433657,0.00021742281490071,0.000313636933885334,0.000137475941710201,0,0,0.000196869770646717,0,0,0,0,0,0,0,0.0015220700152207,0,0,0,0,0,0
"g_Haloplanus",0,0,0,0.000162575191025849,5.03626107977438e-05,8.46740050804403e-05,0.00124843945068664,0.000177661968494611,0.000417118545090515,0.00040453074433657,0.000386529448712374,0.000627273867770669,0,0.000228519195612431,0,0,0,0.0016366612111293,0,0.00256410256410256,0,0.000243131534159981,0.000685150504727538,0,0,0,0,0,0,0
"g_Haloprofundus",0,0,0,0.000162575191025849,5.03626107977438e-05,0.000169348010160881,0.000166458593424886,0.000148051640412176,0.000375406690581463,0.000252831715210356,0.00014494854326714,0.000313636933885334,0,0.000228519195612431,0,0.000492174426616793,0,0.0016366612111293,0,0,0.27681660899654,8.10438447199935e-05,0.000182706801260677,0,0,0,0,0,0,0
"g_Haloquadratum",0,0,0,0,0.000201450443190975,0,0,2.96103280824352e-05,4.17118545090515e-05,0.000101132686084142,4.83161810890467e-05,0.000188182160331201,0,0,0,0,0,0,0,0,0.0013840830449827,0,4.56767003151692e-05,0,0,0,0,0,0,0
"g_Halorhabdus",0,0,0,0,5.03626107977438e-05,0.000169348010160881,0.00124843945068664,0.000592206561648703,0.000458830399599566,0.000556229773462783,0.000386529448712374,0.000815456028101869,0,0,0,0,0,0,0,0,0.0100346020761246,8.10438447199935e-05,4.56767003151692e-05,0,0,0,0,0.000390015600624025,0,0
"g_Halorientalis",0,0.000159923236846314,0,8.12875955129247e-05,5.03626107977438e-05,0.000338696020321761,0.00224719101123596,0.000296103280824352,0.000667389672144824,0.0010618932038835,0.000410687539256897,0.000878183414878936,0,0.00137111517367459,0,9.84348853233586e-05,0,0,0,0.000961538461538462,0.00726643598615917,0.000243131534159981,0.000182706801260677,0,0,0.000358294518093873,0,0,0,0
"g_Halorubellus",0,0,0,0,0,0,8.32292967124428e-05,0,0.000125135563527154,0,9.66323621780934e-05,0.000125454773554134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078003120124805,0,0
"g_Halorubrum",0.000910300399131713,0,0.000454545454545455,0.00227605267436189,0.000604351329572925,0.00156646909398815,0.0023304203079484,0.0010067511548028,0.000959372653708184,0.00141585760517799,0.000773058897424748,0.00169363944298081,0.0505911465493539,0.00502742230347349,0.00701754385964912,0.0934147061718673,0.204545454545455,0.138297872340426,0.157281299109481,0.355448717948718,0.0882352941176471,0.221411783775022,0.22144064312794,0.030441400304414,0.00298953662182362,0.0053744177714081,0,0.00741029641185647,0.0222513089005236,0.000918273645546373
