"KEGG_KO","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF","description"
"K00028",1.1e-05,0,0,0,0,0,1e-06,0,1e-06,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]"
"K00029",0.000162,0.000148,0.000249,0.000117,0.000295,0.000219,0.000313,0.000216,0.00027,0.000297,0.000241,0.000247,6.6e-05,0.000117,2e-05,0.000189,0.000133,1.5e-05,7.1e-05,7.9e-05,7.9e-05,0.000137,0.000102,5e-06,0,6e-06,0,1.2e-05,5e-06,0,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
"K00030",4e-05,2.1e-05,5.2e-05,3.4e-05,5.1e-05,1.6e-05,0.000118,0.000106,0.000126,0.000152,0.000163,0.000105,0.000145,0.000244,2.9e-05,2.6e-05,0,2.5e-05,0.000321,2e-06,8.6e-05,0.000154,0.000128,0.000253,0,3.3e-05,6.1e-05,1.8e-05,8.6e-05,0.000106,"IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"K00031",0.000487,0.000629,0.000746,0.000243,0.000576,0.000371,0.000945,0.000901,0.000859,0.000811,0.000799,0.000922,0.000614,0.000167,0.000189,0.000815,0,0.000299,0.000565,8e-06,0.000142,0.000197,0.000211,1.6e-05,0.000167,1e-04,0.000146,8.5e-05,2.4e-05,0.000204,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
"K00032",0,0,0,0,0,0,2e-06,6e-06,4e-06,5e-06,3e-06,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]"
"K00033",0.000349,0.000722,0.000487,0.000417,0.000568,0.000589,0.000613,0.000454,0.000494,0.000448,0.00036,0.000431,0.000854,5.2e-05,4e-05,0.000798,0.000133,0.001236,0.000365,1.2e-05,3.6e-05,0.00026,9.7e-05,6e-06,4.2e-05,0.000388,3.8e-05,0.00014,6.7e-05,0.00022,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"K00034",5.1e-05,3.4e-05,6.2e-05,3.9e-05,5e-05,5.4e-05,1.9e-05,2.2e-05,1.9e-05,1.3e-05,1.1e-05,1.6e-05,7.6e-05,5e-06,0,5.4e-05,0,0,0,0,0,3.1e-05,6.6e-05,0,0,0,0,6e-06,0,0,"gdh; glucose 1-dehydrogenase [EC:1.1.1.47]"
"K00035",4e-06,0,0,3e-06,5e-06,1.6e-05,5e-06,8e-06,1.2e-05,6e-06,6e-06,4e-06,0,0,0,4e-06,0,0,0,0,0,5e-06,1.1e-05,0,0,0,0,0,0,0,"gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]"
"K00036",0.00053,0.000445,0.000435,0.000373,0.000654,0.000511,0.000902,0.000708,0.000827,0.000715,0.000617,0.000667,0.000409,2.1e-05,0.000119,0.000833,0,0.001264,0.000196,0.000696,0.000129,0.000248,9.1e-05,6e-06,8.3e-05,6e-06,2.3e-05,1.8e-05,1e-05,2.4e-05,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"K00038",0,4e-06,0,5e-06,1.2e-05,5e-06,4.3e-05,2.7e-05,2.7e-05,3e-05,1.5e-05,3.1e-05,0.000154,2e-06,0,1.8e-05,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,5e-06,0,"E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]"
"K00040",4e-06,1.5e-05,0,1.6e-05,1.4e-05,3.7e-05,2.9e-05,2.8e-05,3.5e-05,3.5e-05,2.6e-05,2.9e-05,6.2e-05,0.000397,4e-06,0,0,0.000117,0.000244,0.000365,2e-05,0.000929,0.001123,6.9e-05,3.3e-05,5e-05,0.000161,3.6e-05,3.3e-05,0.000122,"uxuB; fructuronate reductase [EC:1.1.1.57]"
"K00041",7.1e-05,0,0,3.3e-05,5.3e-05,2.8e-05,2.7e-05,2.1e-05,8e-06,1.9e-05,1.8e-05,1.9e-05,3.1e-05,0.000431,6.8e-05,0.000111,0,6e-06,9e-06,0.000197,0,4.6e-05,9.9e-05,0.00022,0,0,0,0,0,0,"uxaB; tagaturonate reductase [EC:1.1.1.58]"
"K00042",3e-06,1.3e-05,0,3e-06,1e-06,0,6e-06,5e-06,7e-06,5e-06,5e-06,5e-06,8e-06,0.00018,2.6e-05,0,0,8.3e-05,0,1e-05,7e-06,2.2e-05,6.9e-05,4.3e-05,0,0,0,6e-06,0,0,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
"K00044",0,0,0,0,0,0,1e-06,2e-06,1e-06,3e-06,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K00045",2.7e-05,8.7e-05,2.1e-05,8e-06,4.1e-05,2.7e-05,4.6e-05,4.5e-05,4.6e-05,3.4e-05,2e-05,3.3e-05,0.000332,0,0,3.4e-05,0,0,4.7e-05,1.2e-05,1e-05,0,0,3e-06,0,0,0,0,0,0,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"
