"KEGG_KO","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF","description"
"K04892",0,0,0,0,0,0,2.8e-05,3.4e-05,4.6e-05,9.9e-05,8.4e-05,4.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04893",0,0,0,0,0,0,2e-06,1e-06,1e-06,5e-06,4e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04899",0,0,0,0,0,0,1.5e-05,1.9e-05,1.7e-05,2.7e-05,2e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04901",0,0,0,0,0,0,3e-06,2e-06,1e-06,3e-06,8e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04902",0,0,0,0,0,0,1.2e-05,8e-06,7e-06,1.3e-05,1.4e-05,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04903",0,0,0,0,0,0,1e-06,1e-06,1e-06,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04904",0,0,0,0,0,0,1e-06,0,0,1e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04905",0,0,0,0,0,0,2.7e-05,4.3e-05,4.1e-05,5.8e-05,7.1e-05,3.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNH2, KV11.1; potassium voltage-gated channel Eag-related subfamily H member 2"
"K04908",0,0,0,0,1e-06,0,3.7e-05,5.6e-05,3.9e-05,7.5e-05,5.6e-05,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNH5, KV10.2; potassium voltage-gated channel Eag-related subfamily H member 5"
"K04909",0,0,0,0,0,0,7e-06,2e-06,1e-06,4e-06,6e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNH6, KV11.2; potassium voltage-gated channel Eag-related subfamily H member 6"
"K04910",0,0,0,0,0,0,1e-05,9e-06,7e-06,8e-06,1.1e-05,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04911",0,0,0,0,3e-06,0,1e-06,0,0,4e-06,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNH8, KV12.1; potassium voltage-gated channel Eag-related subfamily H member 8"
"K04912",0,0,0,0,0,0,2.4e-05,3.5e-05,3.3e-05,5.2e-05,5.9e-05,2.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNK1, K2P1.1; potassium channel subfamily K member 1"
"K04915",0,0,0,0,0,0,1e-06,6e-06,2e-06,1.3e-05,4e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04916",0,0,0,0,0,0,1e-06,1e-06,0,4e-06,1e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04917",0,0,0,0,0,0,0,1e-06,0,3e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04919",0,0,0,0,0,0,3.1e-05,4.9e-05,4.6e-05,6e-05,4.4e-05,3.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNK9, K2P9.1; potassium channel subfamily K member 9"
"K04926",0,0,0,0,0,0,2.6e-05,3.8e-05,3.1e-05,6.1e-05,5.3e-05,3.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNQ1, KV7.1; potassium voltage-gated channel KQT-like subfamily member 1"
"K04927",0,0,0,0,0,0,1.9e-05,2.2e-05,2.6e-05,9e-06,2.4e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04930",0,0,0,0,0,0,1.6e-05,3e-05,3e-05,4e-05,2.5e-05,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04931",0,0,0,0,0,0,2.7e-05,4e-05,2.5e-05,6.3e-05,4.8e-05,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04932",0,0,0,0,0,0,4e-06,2e-06,1e-06,4e-06,1e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04933",0,0,0,0,0,0,4e-06,2e-06,2e-06,5e-06,2e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04934",0,0,0,0,0,0,4e-06,5e-06,6e-06,6e-06,6e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04936",0,0,0,0,0,0,2.5e-05,2.2e-05,2.2e-05,4.3e-05,4.2e-05,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNMA1, KCA1.1; potassium large conductance calcium-activated channel subfamily M alpha member 1"
"K04939",0,0,0,0,0,0,6e-06,9e-06,3e-06,3e-06,2e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04940",1.3e-05,8e-06,2.1e-05,1.3e-05,3.2e-05,7e-06,0.000162,0.000142,0.000177,9.4e-05,0.000151,0.000115,3e-06,8.9e-05,2.6e-05,2.3e-05,0,0,4e-06,0,0,0.000137,0.000131,2e-04,8e-06,0,8e-06,1.2e-05,0,0,"odh; opine dehydrogenase [EC:1.5.1.28]"
"K04944",0,0,0,0,0,0,3.7e-05,3.9e-05,3.5e-05,4.7e-05,3.6e-05,3.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04946",0,0,0,0,0,0,3e-05,3.5e-05,4.4e-05,6.2e-05,4.1e-05,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KCNT1, KNA1.1; potassium channel subfamily T member 1"
"K04947",0,0,0,0,0,0,1e-06,0,1e-06,3e-06,6e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04948",0,0,0,0,0,0,7e-06,5e-06,4e-06,1.6e-05,6e-06,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CNGA1; cyclic nucleotide gated channel alpha 1"
"K04949",0,0,0,0,0,0,5e-06,2e-06,8e-06,6e-06,5e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04950",0,0,0,0,0,0,2.4e-05,4.3e-05,2.6e-05,5.6e-05,5.2e-05,3.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CNGA3; cyclic nucleotide gated channel alpha 3"
"K04952",0,0,0,0,0,0,9e-06,7e-06,6e-06,3e-05,1.1e-05,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CNGB1; cyclic nucleotide gated channel beta 1"
"K04953",0,0,0,0,0,0,2e-06,1e-06,3e-06,8e-06,2e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CNGB3; cyclic nucleotide gated channel beta 3"
"K04954",0,0,0,0,0,0,1e-06,3e-06,1e-06,1e-06,0,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HCN1; hyperpolarization activated cyclic nucleotide-gated potassium channel 1"
"K04955",0,0,0,0,0,0,3e-05,5.1e-05,4.5e-05,7.7e-05,5.7e-05,4.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HCN2; hyperpolarization activated cyclic nucleotide-gated potassium channel 2"
"K04956",0,0,0,0,0,0,1e-06,1e-06,1e-06,6e-06,1e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04958",0.000244,0,0,0,0,0,0.00018,0.000273,0.00027,0.000366,0.000335,0.000282,0,0,0,0,0,0,0,0,0,0,0,0,5e-05,0,0,6e-06,0,0,"ITPR1; inositol 1,4,5-triphosphate receptor type 1"
"K04959",0,0,0,0,0,0,7e-06,2.1e-05,1.1e-05,1.4e-05,2.5e-05,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04960",0,0,0,0,0,0,2.3e-05,3.1e-05,3e-05,5.3e-05,3.7e-05,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04961",0,0,0,0,0,0,9e-06,1.6e-05,1.6e-05,1.6e-05,1.4e-05,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04962",0,0,0,0,1e-06,0,0.000223,0.000301,0.000279,0.000465,0.000454,0.000301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RYR2; ryanodine receptor 2"
"K04963",0,0,0,0,0,0,2.6e-05,1.5e-05,1.4e-05,3.1e-05,1.4e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04965",0,0,0,0,0,0,3e-06,3e-06,2e-06,6e-06,3e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04966",0,0,0,0,0,0,1e-06,5e-06,0,4e-06,5e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04967",1e-06,0,0,0,0,0,4.9e-05,6.3e-05,6.2e-05,1e-04,9.1e-05,7.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TRPC4; transient receptor potential cation channel subfamily C member 4"
"K04968",0,0,0,0,0,0,2e-06,7e-06,1e-06,5e-06,1.3e-05,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7e-05,0,0,0,0,0,0,0,0,"-"
"K04974",0,0,0,0,0,0,8.2e-05,0.000104,0.000152,0.00021,0.000192,0.000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04975",0,0,0,0,0,0,1.3e-05,2.7e-05,2.7e-05,3.3e-05,4.8e-05,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04976",0,0,0,0,0,0,4e-06,2e-06,4e-06,6e-06,4e-06,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04977",0,0,0,0,0,0,9e-06,1.8e-05,1.9e-05,2.4e-05,2.5e-05,1.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04978",0,0,0,0,0,0,6.7e-05,8.2e-05,1e-04,0.00013,0.000105,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TRPM3; transient receptor potential cation channel subfamily M member 3"
"K04979",0,0,0,0,0,0,3e-06,4e-06,5e-06,6e-06,1.1e-05,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04980",0,0,0,0,0,0,1.9e-05,1.8e-05,1.5e-05,3.5e-05,3e-05,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04981",0,0,0,0,0,0,9e-06,1.2e-05,1.3e-05,2.5e-05,1.8e-05,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04982",0,0,0,0,0,0,1.4e-05,3e-05,3.3e-05,2.4e-05,3.3e-05,2.1e-05,6e-06,0,0,0,0,0,0,0,0,2.4e-05,0,0,0,0,0,0,0,0,"-"
"K04983",0,0,0,0,0,0,0,0,1e-06,2e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04984",1e-06,0.000152,0,0,1.8e-05,4e-06,0.000136,0.000171,0.000142,0.000231,0.000191,0.000159,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,"TRPA1, ANKTM1; transient receptor potential cation channel subfamily A member 1"
"K04985",0,0,0,0,1e-06,0,2.3e-05,3.4e-05,4.1e-05,4.8e-05,3.7e-05,3.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04986",0,0,0,0,1e-06,0,0.000112,0.000165,0.000173,0.000225,0.000227,0.000136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PKD2, TRPP1; polycystin 2"
"K04987",0,0,0,0,4e-06,0,1.5e-05,1.4e-05,2.5e-05,2.3e-05,2e-05,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04988",0,0,0,0,0,0,2e-05,3.5e-05,2.7e-05,4.2e-05,4e-05,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PKD1L2; polycystin 1L2"
"K04989",0,0,0,0,0,0,2e-06,3e-06,3e-06,3e-06,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04990",0,0,0,0,2e-06,0,1.1e-05,3.2e-05,3.3e-05,3.4e-05,4.2e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04991",0,0,0,0,0,0,9e-06,2.3e-05,1.9e-05,1.8e-05,1.3e-05,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04995",0,0,0,0,0,0,2e-06,5e-06,6e-06,4e-06,8e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04996",0,0,0,0,0,0,4e-06,2e-06,4e-06,5e-06,4e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K04997",0,0,0,0,0,0,0,0,0,1e-06,1e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05003",0,0,0,0,0,0,1e-06,1e-06,0,4e-06,0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05008",0,0,0,0,0,0,2e-06,6e-06,1.1e-05,1e-05,7e-06,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05011",0,7.4e-05,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2e-05,0,0,0,0,"CLCN2; chloride channel 2"
"K05012",0,0,0,0,0,0,6.5e-05,9.4e-05,8.8e-05,0.000133,0.000126,9.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLCN3_4_5; chloride channel 3/4/5"
"K05015",0,0,0,0,0,0,0,0,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05016",3e-06,3e-05,0,0,3e-05,4e-05,4.1e-05,5.5e-05,5.8e-05,6.7e-05,6.3e-05,4.2e-05,0,0,0,3e-06,0,0,0,0,0,1.9e-05,1.4e-05,0,0,0,0,6e-06,1e-05,0,"CLCN7; chloride channel 7"
"K05019",3e-06,0,0,0,0,0,1e-05,9e-06,1.1e-05,1.8e-05,1.1e-05,1.1e-05,0,5e-06,0,7e-06,0,0,0,0,0,4.8e-05,0,0,0,0,0,0,0,0,"CLNS1A; chloride channel, nucleotide-sensitive, 1A"
"K05020",0,4e-06,2.1e-05,2.3e-05,6e-06,0,2e-06,1e-06,0,2e-06,5e-06,0,4e-06,7e-05,5.7e-05,1e-06,0,0,1.1e-05,0.000696,3e-06,0.000282,0.000358,0.000425,2.5e-05,6.1e-05,1.5e-05,1.8e-05,1.4e-05,1.6e-05,"opuD, betL; glycine betaine transporter"
"K05021",3e-06,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,2e-06,0,0.000209,0,0,0,0,0,0,0,0,"-"
"K05022",0,0,0,0,0,0,2.7e-05,3.3e-05,2.6e-05,3.6e-05,3.9e-05,2.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05024",0,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,6.3e-05,0,0,0,0,0,0,0,0,"-"
"K05027",5.4e-05,0,0.000114,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05028",0,0,0,0,0,0,0,1e-06,1e-06,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05030",0,0,0,0,0,0,1.2e-05,8e-06,1.5e-05,2.3e-05,3.3e-05,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05031",0,0,0,0,0,0,1e-06,0,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05032",0,3e-05,0,0,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,"-"
"K05033",0,0,0,8e-06,0,0,1e-05,8e-06,7e-06,5e-06,4e-06,5e-06,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05034",0,0,0,0,0,0,3.4e-05,4.6e-05,3.5e-05,5.3e-05,4.1e-05,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC6A1; solute carrier family 6 (neurotransmitter transporter, GABA) member 1"
"K05035",0,0,0,0,0,0,2.5e-05,3.4e-05,4.1e-05,5.7e-05,4.2e-05,2.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC6A2; solute carrier family 6 (neurotransmitter transporter, noradrenalin) member 2"
"K05036",0,0,0,0,0,0,2.9e-05,5.7e-05,4.9e-05,6.4e-05,5e-05,3.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC6A3; solute carrier family 6 (neurotransmitter transporter, dopamine) member 3"
"K05037",0,0,0,0,1e-06,0,7.7e-05,9.5e-05,8.2e-05,0.000111,0.000132,7.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC6A4; solute carrier family 6 (neurotransmitter transporter, serotonin) member 4"
"K05038",0,0,0,0,0,0,0.000136,0.000161,0.000176,0.000261,0.000223,0.000197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC6A5S; solute carrier family 6 (neurotransmitter transporter, amino acid) member 5/7/9/14"
"K05039",0,0,0,0,0,0,5.3e-05,6.7e-05,6.1e-05,0.000106,0.000108,8e-05,4e-06,0,0,0,0,0,0,0,0,0.000395,0,0,0,0,0,0,0,0,"SLC6A6S; solute carrier family 6 (neurotransmitter transporter, GABA) member 6/8/11/12/13"
"K05048",0,0,0,0,0,0,1.7e-05,2.3e-05,3.5e-05,2.6e-05,2.9e-05,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SLC6A15S; solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20"
"K05051",0,0,0,0,0,0,8e-06,6e-06,1.2e-05,1.6e-05,1.2e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05052",0,0,0,0,0,0,7e-06,1.7e-05,1.9e-05,2.4e-05,2.5e-05,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NMUR1; neuromedin U receptor 1"
"K05053",0,0,0,0,0,0,2.9e-05,4.4e-05,3e-05,4.8e-05,4.5e-05,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05054",0,0,0,0,0,0,8e-06,2.1e-05,1.7e-05,1.6e-05,1.4e-05,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05060",0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,7e-06,0,1e-06,0,0,0,0,0,0,"-"
"K05070",0,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,9.9e-05,0,1e-06,0,0,0,0,0,0,"-"
"K05084",0,0,0,0,0,0,3e-06,2e-06,7e-06,1.6e-05,1.3e-05,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05085",0,0,0,0,1e-06,0,2e-05,3.1e-05,1.9e-05,2.9e-05,2.4e-05,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05086",0,0,0,0,0,0,9e-06,1e-05,1e-05,2e-05,1.3e-05,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05087",0,0,0,0,0,0,8e-06,1.3e-05,1.7e-05,1.6e-05,1.1e-05,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05088",0,0,0,0,0,0,5e-06,9e-06,4e-06,1.2e-05,9e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ROS1; proto-oncogene tyrosine-protein kinase ROS [EC:2.7.10.1]"
"K05090",0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,2e-06,0,0.000467,0,2e-06,0,0,0,0,0,0,"-"
"K05091",0,0,0,0,0,0,0,0,0,1e-06,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05092",0,0,0,0,0,0,1e-06,8e-06,3e-06,2e-06,1e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05093",0,0,0,0,0,0,5e-06,6e-06,1.3e-05,1.4e-05,6e-06,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FGFR2, CD332; fibroblast growth factor receptor 2 [EC:2.7.10.1]"
"K05094",0,0,0,0,0,0,0,2e-06,1e-06,3e-06,4e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FGFR3, CD333; fibroblast growth factor receptor 3 [EC:2.7.10.1]"
"K05096",0,0,0,0,0,0,1.8e-05,2.7e-05,4e-05,3.5e-05,3.8e-05,3.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FLT1, VEGFR1; FMS-like tyrosine kinase 1 [EC:2.7.10.1]"
"K05099",0,0,0,0,0,0,1e-06,0,1e-06,1.1e-05,5e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05101",0,0,0,0,0,0,3.7e-05,4.4e-05,4.9e-05,6.4e-05,6e-05,5.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05102",0,0,0,0,0,0,0,2e-06,1e-06,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05103",0,0,0,0,0,0,7e-06,1.1e-05,1.7e-05,1.9e-05,2.2e-05,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05105",0,0,0,0,0,0,2e-06,4e-06,1e-06,2e-06,1.1e-05,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05106",0,0,0,0,0,0,5e-06,1e-05,1.2e-05,1.6e-05,1.4e-05,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05109",0,0,0,0,0,0,2e-06,3e-06,7e-06,5e-06,6e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05110",0,0,0,0,0,0,5.8e-05,0.000102,7.4e-05,0.000145,0.000132,8.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05112",0,0,0,0,0,0,5e-06,1.2e-05,7e-06,1.3e-05,6e-06,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,"-"
"K05114",0,0,0,0,0,0,0,0,4e-06,7e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05119",0,0,0,0,0,0,3e-06,1.1e-05,4e-06,5e-06,8e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ALK, CD246; anaplastic lymphoma kinase [EC:2.7.10.1]"
"K05120",0,0,0,0,0,0,7e-06,4e-06,5e-06,1.1e-05,1.4e-05,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05121",0,0,0,0,0,0,1.3e-05,1.6e-05,1.9e-05,2.1e-05,2.5e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TEK, TIE2, CD202; endothelial-specific receptor tyrosine kinase [EC:2.7.10.1]"
"K05122",0,0,0,0,0,0,8e-06,1.7e-05,1.7e-05,1.9e-05,2.2e-05,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ROR1, NTRKR1; receptor tyrosine kinase-like orphan receptor 1 [EC:2.7.10.1]"
"K05123",0,0,0,0,0,0,1.2e-05,2.4e-05,2.4e-05,2.7e-05,2.4e-05,3.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K05125",0,0,0,0,0,0,2e-06,1e-06,0,2e-06,3e-06,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DDR2, TKT, CD167b; discoidin domain receptor family member 2 [EC:2.7.10.1]"
"K05126",0,0,0,0,0,0,3e-06,8e-06,8e-06,4e-06,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RET; proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]"
"K05127",0,0,0,0,0,0,1e-06,3e-06,1e-05,4e-06,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PTK7, CCK4; PTK7 protein tyrosine kinase 7 [EC:2.7.10.1]"
"K05128",0,0,0,0,0,0,7e-06,9e-06,1.2e-05,2.8e-05,1.9e-05,1.2e-05,0,0,0,0,0,0,0,0,0,4.8e-05,0,0,0,0,0,0,0,0,"RYK; RYK receptor-like tyrosine kinase [EC:2.7.10.1]"
"K05129",0,0,0,0,0,0,1e-06,7e-06,7e-06,4e-06,8e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MUSK; muscle, skeletal, receptor tyrosine kinase [EC:2.7.10.1]"
"K05132",1e-06,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,"-"
"K05134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,"-"
"K05141",0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7e-05,0,0,0,0,0,0,0,0,"-"
